INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,QSAR_READY_SMILES,MOLECULAR_FORMULA
DTXSID8021640,DSSTox_Substance_Id,DTXSID8021640,Nonanedioic acid,DTXCID501640,123-99-9,BDJRBEYXGGNYIS-UHFFFAOYSA-N,Nonanedioic acid,OC(=O)CCCCCCCC(O)=O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)
",OC(=O)CCCCCCCC(O)=O,C9H16O4
DTXSID1024918,DSSTox_Substance_Id,DTXSID1024918,Diallylamine,DTXCID704918,124-02-7,DYUWTXWIYMHBQS-UHFFFAOYSA-N,N-(Prop-2-en-1-yl)prop-2-en-1-amine,C=CCNCC=C,"InChI=1S/C6H11N/c1-3-5-7-6-4-2/h3-4,7H,1-2,5-6H2
",C=CCNCC=C,C6H11N
DTXSID7021605,DSSTox_Substance_Id,DTXSID7021605,Hexanedioic acid,DTXCID301605,124-04-9,WNLRTRBMVRJNCN-UHFFFAOYSA-N,Hexanedioic acid,OC(=O)CCCCC(O)=O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)
",OC(=O)CCCCC(O)=O,C6H10O4
DTXSID3021645,DSSTox_Substance_Id,DTXSID3021645,Octanoic acid,DTXCID501645,124-07-2,WWZKQHOCKIZLMA-UHFFFAOYSA-N,Octanoic acid,CCCCCCCC(O)=O,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)
",CCCCCCCC(O)=O,C8H16O2
DTXSID5024922,DSSTox_Substance_Id,DTXSID5024922,"1,6-Hexanediamine",DTXCID604922,124-09-4,NAQMVNRVTILPCV-UHFFFAOYSA-N,"Hexane-1,6-diamine",NCCCCCCN,"InChI=1S/C6H16N2/c7-5-3-1-2-4-6-8/h1-8H2
",NCCCCCCN,C6H16N2
DTXSID80924735,DSSTox_Substance_Id,DTXSID80924735,Iron(3+) chloride sulfate (1/1/1),DTXCID801353571,12410-14-9,QJBTZWUJJBSGPI-UHFFFAOYSA-K,Iron(3+) chloride sulfate (1/1/1),[Cl-].[Fe+3].[O-]S([O-])(=O)=O,"InChI=1S/ClH.Fe.H2O4S/c;;1-5(2,3)4/h1H;;(H2,1,2,3,4)/q;+3;/p-3
",,ClFeO4S
DTXSID5027019,DSSTox_Substance_Id,DTXSID5027019,Methyl tetradecanoate,DTXCID607019,124-10-7,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,Methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,"InChI=1S/C15H30O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17-2/h3-14H2,1-2H3
",CCCCCCCCCCCCCC(=O)OC,C15H30O2
DTXSID40872768,DSSTox_Substance_Id,DTXSID40872768,Tetraammonium octamolybdate,DTXCID10820357,12411-64-2,UZWYXNLRGMRHEW-UHFFFAOYSA-R,,[NH4+].[NH4+].[NH4+].[NH4+].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].O=[Mo+4].O=[Mo+4].O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O.O=[Mo++]=O,"InChI=1S/8Mo.4H3N.26O/h;;;;;;;;4*1H3;;;;;;;;;;;;;;;;;;;;;;;;;;/q6*+2;2*+4;;;;;;;;;;;;;;;;;;;12*-2/p+4
",,H16Mo8N4O26
DTXSID3021643,DSSTox_Substance_Id,DTXSID3021643,Octanal,DTXCID701643,124-13-0,NUJGJRNETVAIRJ-UHFFFAOYSA-N,Octanal,CCCCCCCC=O,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3
",CCCCCCCC=O,C8H16O
DTXSID9073094,DSSTox_Substance_Id,DTXSID9073094,"Formamide, N,N'-1,6-hexanediylbis[N-(2,2,6,6-tetramethyl-4-piperidinyl)-",DTXCID2033811,124172-53-8,UONLDZHKYCFZRW-UHFFFAOYSA-N,"N,N'-Hexane-1,6-diylbis[N-(2,2,6,6-tetramethylpiperidin-4-yl)formamide]",CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C1CC(C)(C)NC(C)(C)C1)C=O,"InChI=1S/C26H50N4O2/c1-23(2)15-21(16-24(3,4)27-23)29(19-31)13-11-9-10-12-14-30(20-32)22-17-25(5,6)28-26(7,8)18-22/h19-22,27-28H,9-18H2,1-8H3
",CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C1CC(C)(C)NC(C)(C)C1)C=O,C26H50N4O2
DTXSID9027021,DSSTox_Substance_Id,DTXSID9027021,2-(2-Butoxyethoxy)ethyl acetate,DTXCID707021,124-17-4,VXQBJTKSVGFQOL-UHFFFAOYSA-N,2-(2-Butoxyethoxy)ethyl acetate,CCCCOCCOCCOC(C)=O,"InChI=1S/C10H20O4/c1-3-4-5-12-6-7-13-8-9-14-10(2)11/h3-9H2,1-2H3
",CCCCOCCOCCOC(C)=O,C10H20O4
DTXSID6024913,DSSTox_Substance_Id,DTXSID6024913,Decane,DTXCID704913,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,Decane,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3
",CCCCCCCCCC,C10H22
DTXSID1025300,DSSTox_Substance_Id,DTXSID1025300,2-Ethylhexyl diphenyl phosphate,DTXCID105300,1241-94-7,CGSLYBDCEGBZCG-UHFFFAOYSA-N,2-Ethylhexyl diphenyl phosphate,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,"InChI=1/C20H27O4P/c1-3-5-12-18(4-2)17-22-25(21,23-19-13-8-6-9-14-19)24-20-15-10-7-11-16-20/h6-11,13-16,18H,3-5,12,17H2,1-2H3
",CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,C20H27O4P
DTXSID9021639,DSSTox_Substance_Id,DTXSID9021639,Nonanal,DTXCID801639,124-19-6,GYHFUZHODSMOHU-UHFFFAOYSA-N,Nonanal,CCCCCCCCC=O,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3
",CCCCCCCCC=O,C9H18O
DTXSID3021984,DSSTox_Substance_Id,DTXSID3021984,1-Dodecanamine,DTXCID901984,124-22-1,JRBPAEWTRLWTQC-UHFFFAOYSA-N,Dodecan-1-amine,CCCCCCCCCCCCN,"InChI=1S/C12H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-13H2,1H3
",CCCCCCCCCCCCN,C12H27N
DTXSID9027025,DSSTox_Substance_Id,DTXSID9027025,Octadecanamide,DTXCID307025,124-26-5,LYRFLYHAGKPMFH-UHFFFAOYSA-N,Octadecanamide,CCCCCCCCCCCCCCCCCC(N)=O,"InChI=1S/C18H37NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H2,19,20)
",CCCCCCCCCCCCCCCCCC(N)=O,C18H37NO
DTXSID9020794,DSSTox_Substance_Id,DTXSID9020794,Maneb,DTXCID70794,12427-38-2,YKSNLCVSTHTHJA-UHFFFAOYSA-L,"[{2-[(Sulfanylcarbonothioyl)amino]ethyl}carbamodithioato(2-)-kappa~2~S,S']manganese (non-preferred name)",[Mn++].[S-]C(=S)NCCNC([S-])=S,"InChI=1S/C4H8N2S4.Mn/c7-3(8)5-1-2-6-4(9)10;/h1-2H2,(H2,5,7,8)(H2,6,9,10);/q;+2/p-2
",SC(=S)NCCNC(S)=S,C4H6MnN2S4
DTXSID4027026,DSSTox_Substance_Id,DTXSID4027026,"N,N-Dimethyl-1-octadecanamine",DTXCID707026,124-28-7,NAPSCFZYZVSQHF-UHFFFAOYSA-N,"N,N-Dimethyloctadecan-1-amine",CCCCCCCCCCCCCCCCCCN(C)C,"InChI=1S/C20H43N/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(2)3/h4-20H2,1-3H3
",CCCCCCCCCCCCCCCCCCN(C)C,C20H43N
DTXSID1025801,DSSTox_Substance_Id,DTXSID1025801,1-Octadecanamine,DTXCID505801,124-30-1,REYJJPSVUYRZGE-UHFFFAOYSA-N,Octadecan-1-amine,CCCCCCCCCCCCCCCCCCN,"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3
",CCCCCCCCCCCCCCCCCCN,C18H39N
DTXSID5024057,DSSTox_Substance_Id,DTXSID5024057,Dimethylamine,DTXCID704057,124-40-3,ROSDSFDQCJNGOL-UHFFFAOYSA-N,N-Methylmethanamine,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3
",CNC,C2H7N
DTXSID8027030,DSSTox_Substance_Id,DTXSID8027030,"Methanol, sodium salt",DTXCID607030,124-41-4,WQDUMFSSJAZKTM-UHFFFAOYSA-N,Sodium methoxide,[Na+].C[O-],"InChI=1S/CH3O.Na/c1-2;/h1H3;/q-1;+1
",CO,CH3NaO
DTXSID9024726,DSSTox_Substance_Id,DTXSID9024726,Carbamide peroxide,DTXCID804726,124-43-6,AQLJVWUFPCUVLO-UHFFFAOYSA-N,Hydrogen peroxide--urea (1/1),OO.NC(N)=O,"InChI=1S/CH4N2O.H2O2/c2-1(3)4;1-2/h(H4,2,3,4);1-2H
",NC(N)=O,CH6N2O3
DTXSID1020300,DSSTox_Substance_Id,DTXSID1020300,Chlorodibromomethane,DTXCID30300,124-48-1,GATVIKZLVQHOMN-UHFFFAOYSA-N,Dibromo(chloro)methane,ClC(Br)Br,"InChI=1S/CHBr2Cl/c2-1(3)4/h1H
",ClC(Br)Br,CHBr2Cl
DTXSID2034881,DSSTox_Substance_Id,DTXSID2034881,Quinoxyfen,DTXCID0014881,124495-18-7,WRPIRSINYZBGPK-UHFFFAOYSA-N,"5,7-Dichloro-4-(4-fluorophenoxy)quinoline",FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,"InChI=1S/C15H8Cl2FNO/c16-9-7-12(17)15-13(8-9)19-6-5-14(15)20-11-3-1-10(18)2-4-11/h1-8H
",FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,C15H8Cl2FNO
DTXSID4020903,DSSTox_Substance_Id,DTXSID4020903,Methylarsonic acid,DTXCID80903,124-58-3,QYPPRTNMGCREIM-UHFFFAOYSA-N,Methylarsonic acid,C[As](O)(O)=O,"InChI=1S/CH5AsO3/c1-2(3,4)5/h1H3,(H2,3,4,5)
",,CH5AsO3
DTXSID30897440,DSSTox_Substance_Id,DTXSID30897440,C.I. DIRECT BLUE 301,,124605-82-9,,,,,,
DTXSID1021615,DSSTox_Substance_Id,DTXSID1021615,Methanesulfonyl chloride,DTXCID601615,124-63-0,QARBMVPHQWIHKH-UHFFFAOYSA-N,Methanesulfonyl chlorido,CS(Cl)(=O)=O,"InChI=1S/CH3ClO2S/c1-5(2,3)4/h1H3
",CS(Cl)(=O)=O,CH3ClO2S
DTXSID5021330,DSSTox_Substance_Id,DTXSID5021330,Tetramethylolphosphonium chloride,DTXCID601330,124-64-1,AKXUUJCMWZFYMV-UHFFFAOYSA-M,Tetrakis(hydroxymethyl)phosphanium chloride,[Cl-].OC[P+](CO)(CO)CO,"InChI=1S/C4H12O4P.ClH/c5-1-9(2-6,3-7)4-8;/h5-8H,1-4H2;1H/q+1;/p-1
",OCP(CO)(CO)CO,C4H12ClO4P
DTXSID8027032,DSSTox_Substance_Id,DTXSID8027032,2-Amino-2-methylpropan-1-ol,DTXCID407032,124-68-5,CBTVGIZVANVGBH-UHFFFAOYSA-N,2-Amino-2-methylpropan-1-ol,CC(C)(N)CO,"InChI=1S/C4H11NO/c1-4(2,5)3-6/h6H,3,5H2,1-2H3
",CC(C)(N)CO,C4H11NO
DTXSID3027033,DSSTox_Substance_Id,DTXSID3027033,"Silane, dichloroethenylmethyl-",DTXCID807033,124-70-9,YLJJAVFOBDSYAN-UHFFFAOYSA-N,Dichloro(ethenyl)methylsilane,C[Si](Cl)(Cl)C=C,"InChI=1S/C3H6Cl2Si/c1-3-6(2,4)5/h3H,1H2,2H3
",C[Si](Cl)(Cl)C=C,C3H6Cl2Si
DTXSID2042060,DSSTox_Substance_Id,DTXSID2042060,Isoborneol,DTXCID0022060,124-76-5,DTGKSKDOIYIVQL-MRTMQBJTSA-N,"(1R,2R,4R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3/t7-,8-,10+/m1/s1
","CC1(C)C2CCC1(C)C(O)C2,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2",C10H18O
DTXSID8058297,DSSTox_Substance_Id,DTXSID8058297,Azocosterol HCl,DTXCID6032017,1249-84-9,BZFBDUQOBQHBSZ-DLCQERRASA-N,17beta-{[3-(Dimethylamino)propyl](methyl)amino}androst-5-en-3beta-ol--hydrogen chloride (1/2),Cl.Cl.CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C25H44N2O.2ClH/c1-24-13-11-19(28)17-18(24)7-8-20-21-9-10-23(25(21,2)14-12-22(20)24)27(5)16-6-15-26(3)4;;/h7,19-23,28H,6,8-17H2,1-5H3;2*1H/t19-,20-,21-,22-,23-,24-,25-;;/m0../s1
",CN(C)CCCN(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,C25H46Cl2N2O
DTXSID5049578,DSSTox_Substance_Id,DTXSID5049578,Diutan gum,,125005-87-0,,,,,,
DTXSID4034497,DSSTox_Substance_Id,DTXSID4034497,Metconazole,DTXCID2014497,125116-23-6,XWPZUHJBOLQNMN-UHFFFAOYSA-N,"5-[(4-Chlorophenyl)methyl]-2,2-dimethyl-1-[(1H-1,2,4-triazol-1-yl)methyl]cyclopentan-1-ol",CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,"InChI=1/C17H22ClN3O/c1-16(2)8-7-14(9-13-3-5-15(18)6-4-13)17(16,22)10-21-12-19-11-20-21/h3-6,11-12,14,22H,7-10H2,1-2H3
",CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,C17H22ClN3O
DTXSID7042061,DSSTox_Substance_Id,DTXSID7042061,Isobornyl acetate,DTXCID501011801,125-12-2,KGEKLUUHTZCSIP-JBLDHEPKSA-N,"(1S,2S,4S)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-yl acetate",CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,"InChI=1/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3/t9-,10-,12+/s2
","[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C,CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C",C12H20O2
DTXSID7034674,DSSTox_Substance_Id,DTXSID7034674,Ipconazole,DTXCID5014674,125225-28-7,QTYCMDBMOLSEAM-UHFFFAOYSA-N,"2-[(4-Chlorophenyl)methyl]-5-(propan-2-yl)-1-[(1H-1,2,4-triazol-1-yl)methyl]cyclopentan-1-ol",CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,"InChI=1/C18H24ClN3O/c1-13(2)17-8-5-15(9-14-3-6-16(19)7-4-14)18(17,23)10-22-12-20-11-21-22/h3-4,6-7,11-13,15,17,23H,5,8-10H2,1-2H3
",CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,C18H24ClN3O
DTXSID6029092,DSSTox_Substance_Id,DTXSID6029092,"Bicyclo[3.1.1]heptan-2-ol, 2,6,6-trimethyl-, thermal-rearrangement products, linalool fractions, acid-isomerized, distn. residues, acid-isomerized, distn. lights, terpenoids",,125252-49-5,,,,,,
DTXSID7023510,DSSTox_Substance_Id,DTXSID7023510,Primidone,DTXCID603510,125-33-7,DQMZLTXERSFNPB-UHFFFAOYSA-N,"5-Ethyl-5-phenyl-1,3-diazinane-4,6-dione",CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)
",CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2
DTXSID7034383,DSSTox_Substance_Id,DTXSID7034383,Bispyribac-sodium,DTXCID5014383,125401-92-5,FUHMZYWBSHTEDZ-UHFFFAOYSA-M,"Sodium 2,6-bis[(4,6-dimethoxypyrimidin-2-yl)oxy]benzoate",[Na+].COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O-])=O)=N1,"InChI=1S/C19H18N4O8.Na/c1-26-12-8-13(27-2)21-18(20-12)30-10-6-5-7-11(16(10)17(24)25)31-19-22-14(28-3)9-15(23-19)29-4;/h5-9H,1-4H3,(H,24,25);/q;+1/p-1
",COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C(O)=O)=N1,C19H17N4NaO8
DTXSID001014967,DSSTox_Substance_Id,DTXSID001014967,Dihydrodicyclopentadienyl acrylate,,12542-30-2,,,,,,
DTXSID40746894,DSSTox_Substance_Id,DTXSID40746894,Cobalt hexacyanoferrate(II) (Co2[Fe(CN)6]),DTXCID101517445,15415-49-3,HKPXQKXCHRTXIH-UHFFFAOYSA-N,,[Co++].[Co++].N#[C-][Fe-4]([C-]#N)([C-]#N)([C-]#N)([C-]#N)[C-]#N,"InChI=1S/6CN.2Co.Fe/c6*1-2;;;/q6*-1;2*+2;-4
",,C6Co2FeN6
DTXSID7044211,DSSTox_Substance_Id,DTXSID7044211,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, C7-9-branched alkyl esters",,125643-61-0,,,,,,
DTXSID4029727,DSSTox_Substance_Id,DTXSID4029727,"Lead, bis(octadecanoato)dioxotri-",DTXCID709727,12578-12-0,VDBIDHFJMXOQTB-UHFFFAOYSA-N,"1,5-Dioctadecyl-1lambda~2~,3lambda~2~,5lambda~2~-triplumboxane",CCCCCCCCCCCCCCCCCC[Pb]O[Pb]O[Pb]CCCCCCCCCCCCCCCCCC,"InChI=1S/2C18H37.2O.3Pb/c2*1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2;;;;;/h2*1,3-18H2,2H3;;;;;
",,C36H74O2Pb3
DTXSID6029094,DSSTox_Substance_Id,DTXSID6029094,"Benzene, ethenyl-​, ar-​bromo derivs.",,125904-11-2,,,,,,
DTXSID90635269,DSSTox_Substance_Id,DTXSID90635269,(2Z)-2-Benzylidene-4-methyl-3-oxo-N-phenylpentanamide,DTXCID90586020,125971-57-5,SMUFHBOCNIUNPT-LGMDPLHJSA-N,(2Z)-2-Benzylidene-4-methyl-3-oxo-N-phenylpentanamide,CC(C)C(=O)C(=C\C1=CC=CC=C1)\C(=O)NC1=CC=CC=C1,"InChI=1S/C19H19NO2/c1-14(2)18(21)17(13-15-9-5-3-6-10-15)19(22)20-16-11-7-4-8-12-16/h3-14H,1-2H3,(H,20,22)/b17-13-
","CC(C)C(=O)C(=CC1=CC=CC=C1)C(=O)NC1=CC=CC=C1,""CC(C)C(=O)C(=C\\C1=CC=CC=C1)\\C(=O)NC1=CC=CC=C1""",C19H19NO2
DTXSID9029855,DSSTox_Substance_Id,DTXSID9029855,"Phosphoric trichloride, polymer with 1,3-benzenediol, phenyl ester",,125997-21-9,,,,,,
DTXSID9022817,DSSTox_Substance_Id,DTXSID9022817,Carminic acid,DTXCID902817,1260-17-9,DGQLVPJVXFOQEV-JNVSTXMASA-N,"(1S)-1,5-Anhydro-1-(7-carboxy-1,3,4,6-tetrahydroxy-8-methyl-9,10-dioxo-9,10-dihydroanthracen-2-yl)-D-glucitol",CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,"InChI=1S/C22H20O13/c1-4-8-5(2-6(24)9(4)22(33)34)13(25)10-11(15(8)27)16(28)12(18(30)17(10)29)21-20(32)19(31)14(26)7(3-23)35-21/h2,7,14,19-21,23-24,26,28-32H,3H2,1H3,(H,33,34)/t7-,14-,19+,20-,21+/m1/s1
","CC1=C2C(=O)C3=C(C(O)=C(O)C(C4OC(CO)C(O)C(O)C4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O,CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O",C22H20O13
DTXSID10106264,DSSTox_Substance_Id,DTXSID10106264,"Phenol, 2(or 4)-C9-10-branched alkyl derivs., phosphorothioates (3:1)",,126019-82-7,,,,,,
DTXSID7051638,DSSTox_Substance_Id,DTXSID7051638,Nickel carbonate hydroxide (Ni3(CO3)(OH)4),DTXCID2030190,12607-70-4,ATYNVYNPWGEMMI-UHFFFAOYSA-H,,[OH-].[OH-].[OH-].[OH-].[Ni++].[Ni++].[Ni++].[O-]C([O-])=O,"InChI=1S/CH2O3.3Ni.4H2O/c2-1(3)4;;;;;;;/h(H2,2,3,4);;;;4*1H2/q;3*+2;;;;/p-6
",OC(O)=O,CH4Ni3O7
DTXSID8020674,DSSTox_Substance_Id,DTXSID8020674,Griseofulvin,DTXCID20674,126-07-8,DDUHZTYCFQRHIY-RBHXEPJQSA-N,"(1'S,6'R)-7-Chloro-2',4,6-trimethoxy-6'-methyl-3H-spiro[[1]benzofuran-2,1'-cyclohex[2]ene]-3,4'-dione",COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,"InChI=1S/C17H17ClO6/c1-8-5-9(19)6-12(23-4)17(8)16(20)13-10(21-2)7-11(22-3)14(18)15(13)24-17/h6-8H,5H2,1-4H3/t8-,17+/m1/s1
","COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,COC1=C2C(=O)C3(OC2=C(Cl)C(OC)=C1)C(C)CC(=O)C=C3OC",C17H17ClO6
DTXSID8027034,DSSTox_Substance_Id,DTXSID8027034,"2-(Hydroxymethyl)-2-nitro-1,3-propanediol",DTXCID207034,126-11-4,OLQJQHSAWMFDJE-UHFFFAOYSA-N,"2-(Hydroxymethyl)-2-nitropropane-1,3-diol",OCC(CO)(CO)[N+]([O-])=O,"InChI=1S/C4H9NO5/c6-1-4(2-7,3-8)5(9)10/h6-8H,1-3H2
",OCC(CO)(CO)[N+]([O-])=O,C4H9NO5
DTXSID3027035,DSSTox_Substance_Id,DTXSID3027035,Saccharose acetate isobutyrate,DTXCID709340,126-13-6,ZNEBZIJCDDCNRC-SWTLDUCYSA-N,"6-O-Acetyl-1,3,4-tris-O-(2-methylpropanoyl)-beta-D-fructofuranosyl 6-O-acetyl-2,3,4-tris-O-(2-methylpropanoyl)-alpha-D-glucopyranoside",CC(C)C(=O)OC[C@@]1(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@H](OC(=O)C(C)C)[C@H]2OC(=O)C(C)C)O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,"InChI=1S/C40H62O19/c1-18(2)33(43)51-17-40(32(57-38(48)23(11)12)29(54-35(45)20(5)6)27(58-40)16-50-25(14)42)59-39-31(56-37(47)22(9)10)30(55-36(46)21(7)8)28(53-34(44)19(3)4)26(52-39)15-49-24(13)41/h18-23,26-32,39H,15-17H2,1-14H3/t26-,27-,28-,29-,30+,31-,32+,39-,40+/m1/s1
","CC(C)C(=O)OC[C@@]1(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@H](OC(=O)C(C)C)[C@H]2OC(=O)C(C)C)O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,CC(C)C(=O)OCC1(OC2OC(COC(C)=O)C(OC(=O)C(C)C)C(OC(=O)C(C)C)C2OC(=O)C(C)C)OC(COC(C)=O)C(OC(=O)C(C)C)C1OC(=O)C(C)C",C40H62O19
DTXSID00893914,DSSTox_Substance_Id,DTXSID00893914,Lead zirconate titanate,DTXCID401323952,12626-81-2,HFGPZNIAWCZYJU-UHFFFAOYSA-N,,[O--].[O--].[O--].[O--].[O--].[Ti+4].[Zr+4].[Pb++],"InChI=1S/5O.Pb.Ti.Zr/q5*-2;+2;2*+4
",,O5PbTiZr
DTXSID9093989,DSSTox_Substance_Id,DTXSID9093989,"Silicic acid, lithium salt",,12627-14-4,,,,,,
DTXSID8027036,DSSTox_Substance_Id,DTXSID8027036,"2,2-Dimethylpropane-1,3-diol",DTXCID007036,126-30-7,SLCVBVWXLSEKPL-UHFFFAOYSA-N,"2,2-Dimethylpropane-1,3-diol",CC(C)(CO)CO,"InChI=1S/C5H12O2/c1-5(2,3-6)4-7/h6-7H,3-4H2,1-2H3
",CC(C)(CO)CO,C5H12O2
DTXSID90155139,DSSTox_Substance_Id,DTXSID90155139,Triflumezopyrim,DTXCID1077630,1263133-33-0,LHZOTJOOBRODLL-UHFFFAOYSA-N,"2,4-Dioxo-1-[(pyrimidin-5-yl)methyl]-3-[3-(trifluoromethyl)phenyl]-1,2,3,4-tetrahydropyrido[1,2-a]pyrimidin-5-ium-3-ide",FC(F)(F)C1=CC=CC(=C1)[C-]1C(=O)N(CC2=CN=CN=C2)C2=CC=CC=[N+]2C1=O,"InChI=1S/C20H13F3N4O2/c21-20(22,23)15-5-3-4-14(8-15)17-18(28)26-7-2-1-6-16(26)27(19(17)29)11-13-9-24-12-25-10-13/h1-10,12H,11H2
",FC(F)(F)C1=CC=CC(=C1)[C-]1C(=O)N(CC2=CN=CN=C2)C2=CC=CC=[N+]2C1=O,C20H13F3N4O2
DTXSID3027037,DSSTox_Substance_Id,DTXSID3027037,Sulfolane,DTXCID407037,126-33-0,HXJUTPCZVOIRIF-UHFFFAOYSA-N,"1lambda~6~-Thiolane-1,1-dione",O=S1(=O)CCCC1,"InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2
",O=S1(=O)CCCC1,C4H8O2S
DTXSID5047829,DSSTox_Substance_Id,DTXSID5047829,Paromomycin sulfate,,1263-89-4,,,,,,
DTXSID3027740,DSSTox_Substance_Id,DTXSID3027740,2-Ethylhexyl phosphate (mixed isomers),,12645-31-7,,,,,,
DTXSID50155039,DSSTox_Substance_Id,DTXSID50155039,Tripelargonin,DTXCID8077530,126-53-4,YRIMSXJXBHUHJT-UHFFFAOYSA-N,"Propane-1,2,3-triyl trinonanoate",CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OC(=O)CCCCCCCC,"InChI=1S/C30H56O6/c1-4-7-10-13-16-19-22-28(31)34-25-27(36-30(33)24-21-18-15-12-9-6-3)26-35-29(32)23-20-17-14-11-8-5-2/h27H,4-26H2,1-3H3
",CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OC(=O)CCCCCCCC,C30H56O6
